bill_date,ALCALINAS,BOMBILLOS,ENCENDEDORES,MANGANESO,OTROS,TERCEROS,month,year,year_month,date
2018-07-31 05:00:00+00:00,1452.0,521.0,1056.0,12282.0,390.0,0.0,7,2018,2018-07-01,2018-07-31
2018-08-01 05:00:00+00:00,1842.0,394.0,1789.0,10779.0,487.0,0.0,8,2018,2018-08-01,2018-08-01
2018-08-02 05:00:00+00:00,805.0,390.0,814.0,17113.0,333.0,0.0,8,2018,2018-08-01,2018-08-02
2018-08-03 05:00:00+00:00,1123.0,385.0,567.0,10014.0,556.0,0.0,8,2018,2018-08-01,2018-08-03
2018-08-04 05:00:00+00:00,584.0,31.0,704.0,16774.0,49.0,0.0,8,2018,2018-08-01,2018-08-04
2018-08-06 05:00:00+00:00,591.0,190.0,1181.0,6676.0,305.0,0.0,8,2018,2018-08-01,2018-08-06
2018-08-07 05:00:00+00:00,502.0,288.0,2596.0,7160.0,2749.0,0.0,8,2018,2018-08-01,2018-08-07
2018-08-08 05:00:00+00:00,2040.0,726.0,4107.0,18484.0,1404.0,0.0,8,2018,2018-08-01,2018-08-08
2018-08-09 05:00:00+00:00,1456.0,380.0,1147.0,12728.0,1967.0,0.0,8,2018,2018-08-01,2018-08-09
2018-08-10 05:00:00+00:00,2790.0,311.0,4404.0,42657.0,2724.0,0.0,8,2018,2018-08-01,2018-08-10
2018-08-11 05:00:00+00:00,189.0,34.0,94.0,3312.0,32.0,0.0,8,2018,2018-08-01,2018-08-11
2018-08-12 05:00:00+00:00,30.0,13.0,132.0,790.0,41.0,0.0,8,2018,2018-08-01,2018-08-12
2018-08-13 05:00:00+00:00,956.0,584.0,3718.0,8736.0,394.0,0.0,8,2018,2018-08-01,2018-08-13
2018-08-14 05:00:00+00:00,805.0,420.0,2454.0,4922.0,552.0,0.0,8,2018,2018-08-01,2018-08-14
2018-08-15 05:00:00+00:00,2551.0,180.0,2446.0,13161.0,1153.0,0.0,8,2018,2018-08-01,2018-08-15
2018-08-16 05:00:00+00:00,953.0,140.0,1579.0,6309.0,953.0,0.0,8,2018,2018-08-01,2018-08-16
